Title,Authors,Category_en,weighted_average
Higher education in America (Hardcor),['ragib hasan'],['education and research'],4.312438692488985
Facebook Marketing (Hardcover),['md ariful islam'],"['branding, marketing & singing']",4.178660029794982
Entrepreneur and 101 Business Idea (Paperback),['abdul hakim nahid'],['entrepreneur'],3.9476904461348283
Jobayer's GK (General Knowledge) (Paperback),['jobayer ahmed'],"['bengali, english and normal knowledge']",4.296172448312013
Calcium of Gymnasium Futures (Hardcover),['jhankar mahmud'],['when age 12-17: reference and self-controlled books'],4.455261126481539
Thome,['nick pirator'],"['translation: mystery, detective, horror, myth, thriller, and adventure']",4.440641856496672
Electricity: Easy Formula of success in education (hardcover),['ragib hasan'],['student life development'],4.282074670799136
Mind Engineering Dreams Inspiration And Life Building Formula (Hardcover),['ragib hasan'],['self development and motivation'],4.025690849472282
The secret of not being accepted by prayer (hardcover),['maulana ahmad shafi (chakkari)'],"['salat ', ' prayer']",4.217681371042115
Noman 2 (Paperback),['antik mahmud'],['childrenis: comics and photo stories'],3.9163539728509718
Scientists' sports 3 (hardcover),['ragib hasan'],['scientist'],4.221356459914714
Marketing for Non-Marketers (Hardcover),['prola hassan'],"['branding, marketing & singing']",4.490424109938404
The letter of the century (hardcover),['musa al-hafeez'],['cheap history'],3.985072548416846
Journey to Allah (Hardcor),['hafiz ibn rajab al-hanbali rah'],['the help of islamic period and period'],4.204354808016044
Invite in the way of Allah (Paperback),['dr.khondaker abdullah jahangir'],"['invitation, tabligh, lecture, discussion and waj']",4.464173046613871
Scientists' sparkle-2 (hardcover),['ragib hasan'],['scientist'],4.148170342760529
Islamic Creed (Hardcover),['dr.khondaker abdullah jahangir'],"['faith, akbida and taosa']",4.550125147194939
Do not give me a mistake (hardcover),['ashif antaz robi'],['biographical novels'],4.373572087304027
Ethical hacking and securities (paperback),['titas sarkar'],['computer hacking'],3.662048365611231
The Lost Symbol (Hardcover),['dan brown'],"['mystery, detective, horror, myth, thriller, and adventure: translation']",4.142011135020664
Salat provision in the prayer: A Hadiatoral Review (Paperback),['dr.khondaker abdullah jahangir'],"['salat ', ' prayer']",4.370745097699631
The Boy In The Striped Pajamas,['john boy'],['when age 12-17: novel'],4.501772025822318
Karachi (Hardcover),['mohammad nazim uddin'],['thriller'],3.908834733401507
"Clothing, screen and body-decoration in the light of the Quran-Sunnah (hardcover)",['dr.khondaker abdullah jahangir'],['screen provision'],4.503673824894237
First Romance (Hardcover),['sunil gangopadhyay (nilolit)'],['romantic novel'],3.3842883492161087
Travel Bangladesh Challenge Book (Paperback),['ayman sadiq'],['bangladesh travel'],2.636268290469929
Wonderful history of genes and angels (hardcover),['allama ibn kathir (ra)'],['islamic history and heritage'],4.091307467411424
Life of Female Companions (Hardcor),['dr.abdur rahman rafat pasha rah'],['biography of mahaji women'],3.8832342614914173
Discipline Point (Hardcover),['dan brown'],"['mystery, detective, horror, myth, thriller, and adventure: translation']",3.8935720873040265
VocaBuilder,['farhad hossain masum'],['english language and literature'],4.045536274208423
Interview Techniques (Hardcover),['apple mahmud'],['interview'],3.52285917893972
Nutrition Programming (Hardcover),['sajedur rahman'],"['miscellaneous: cooking, food and nutrition']",4.090103640595494
Kurbani and Jabihullah (Paperback),['dr.khondaker abdullah jahangir'],['hajj-umrah and sacrifice'],4.395962135747374
Charter Master Computer Engineer (Hardcover),['rahitul islam'],['contemporary novel'],3.595181371042115
Freelancing Guru: Online income keyword (hardcover),['md.ikram'],['freelancing & outsourcing'],4.008851266748143
Muslim Women's Crisis (Paperback),['dr.umar sulaiman al-ashkar'],"['islamic research, criticism and essay']",2.2965803873347683
Rabindranath never came here - 2 (Hardcover),['mohammad nazim uddin'],['thriller'],3.9082055373702205
Python Machine Learning From Zero: Sykit-Lean (second edition),['rakibul hasan'],['computer programming'],4.086880288640446
Motivational Moments (Hardcover),['mufti ishmael menak'],['islamic books: self-development'],4.36267178123204
Basic to Advanced Networking (Hardcover),['titas sarkar'],['networking'],4.060975044015315
Next guide to Hair Study in USA,['farhad hossain masum'],['child-teenage: reference and self-controlled book'],3.8907387721507694
Easy Quran (2nd chunk) (the first 21 Surahs and its explanation of the 30th of the Qur'an) (Hardcover),['asif sijat bhuiya'],['quran and tafseer'],3.8072464977383516
Hamlet (Hardcover),['william shakespeare'],['translation: the book of drama'],4.075090685521057
Read reading (hardcover),['munir hasan'],['student memorial life'],4.147842265259419
Constitution-based important MCK (Paperback),['joycoli editors (editorial)'],['bangladesh affairs'],3.74695337637053
Ventrilloist (Hardcover),['mashudul haque'],['thriller and adventure novels'],4.403367880198498
Review sorrow,['mushtaq ahmed'],['science fiction'],3.0704145623819774
Palestine: Survival Fight (Hardcover),['dr.rugib sarajani'],"['political conflict, warfare and genocide']",4.23790896315489
Time Management (Hardcover),['mark manasini'],['career development'],3.3681581269894787
Zobayers Bangla (Paperback),['jobayer ahmed'],"['bengali, english and normal knowledge']",3.5388218233336453
Jobayers English (paperback),['jobayer ahmed'],['admission test preparation'],3.617316077466954
Fish farming in bioflock system,['dr.md.nurul huda al mamun'],['fisheries'],4.064132484774969
Cooking Studio (Hardcover),['ummi selim'],['recipe'],4.162265900894484
Jannati's Ten Ramani Biography (Hardcover),['maulana muhammad abdul hakim (editor)'],"['prophet messenger, sahaba, tabee and oli-awlia']",3.940107479136068
Parabat (hardcover),['tanvir rafi'],['contemporary novel'],4.154582825402546
Prison Rosomacha and unfinished autobiography (Paperback),['md. mofizur rahman (editor)'],['bangladesh affairs'],3.6137001139219906
University Canteen (Hardcover),['dr.muhammad ibn abdur rahman arifi'],['screen provision'],3.8122579966670442
Kongrivism in the name of Islam: Featured and Unwatched Reasons (Hardcover),['dr.khondaker abdullah jahangir'],"['islamic research, criticism and essay']",4.112967722102675
Important MCP (Paperback) of Bangabandhu and Liberation War,['ajay sarkar (editor)'],['bangladesh affairs'],4.101230277597066
Fextrot in Kandahar (Hardcover),['dwaan evans'],"['translation: biography, memorabilia and interview']",3.177350138333846
Modern methods of cow fattening and treatment and milk cow cows (hardcover),['dr.mahbub mustafa'],['cattle'],3.9611000496583038
Constitution of the People's Republic of Bangladesh (Paperback),['laws and parliamentary affairs department'],['miscellaneous books related to law'],3.7435286109525276
Geography and Environmental Based in 9th-10th Category MCC (Paperback),['joycoli editors (editorial)'],['geography (bangladesh and world) environment and disaster management'],3.152681371042115
9th-10th class information and communication technology (computer) based important MCK (Paperback),['joycoli editors (editorial)'],['computer and information technology'],3.8291858065082787
Passive Income (Hardcover),['ralph waters'],['entrepreneur'],3.545852473174945
Love Ahmed (Hardcover),['ahmed farooq'],['romantic novel'],3.7729910851521677
Forefathers (hardcover),['ashif antaz robi'],['romantic novel'],4.25283445797826
9th 10th grade general science-based important MCK (Paperback),['joycoli editors (editorial)'],['general science'],3.400138187460659
Tea Coffee and Quantum Mechanics (Hardcover),['naeem hossain farooqi'],['physics'],4.308678758069474
Confessions (Hardcover),['kaushik zaman (translator)'],"['translation: mystery, detective, horror, myth, thriller, and adventure']",4.2167271236807045
9th-10th grade-based important MCCQ - Bangladesh and World PaperWorks (Paperback),['joycoli editors (editorial)'],['geography (bangladesh and world) environment and disaster management'],3.4562131276814716
Relationships (Paperback),['muslim matters'],['personal and family life'],3.6301934624449226
Islamic banking and financing method: problem and solution (hardcover),['shaikhul islam mufti mufti muhammad toki uthmani'],['islamic economy and business trade'],3.936787580694743
Autumn composition-3rd chunk (hardcover),['sarat chandra chattopadhyay'],['composite compilation and whole'],3.8202072811909886
Bitcoin: Blockcreen technology and other currency (hardcover),['mustafa tanim'],"['business and economics articles, research and statistics']",4.084072548416846
Nexus (Hardcover),['mohammad nazim uddin'],['thriller and adventure novels'],4.302304869946352
Why do not pray (Paperback),['professor maulana atikur rahman bhuiyan'],['the help of islamic period and period'],3.386989104074871
Autumn composition-4th volume (hardcover),['sarat chandra chattopadhyay'],['composite compilation and whole'],3.2102418280561533
Road to Sacs (Hardcover),['satyajit chakravarti'],['career development'],4.230254465963043
Dreaming of Mathematics -1: Art of Problems Salaving (Hardcover),['ahmed jawad chowdhury'],['mathematics'],4.180041456238198
Zero to Hero (Paperback) in Spoken English,['saifur rahman khan'],['english grammar and language learning'],3.6387132080953175
The Art of Thinking Clearley (Hardcover),['ralph dowblley'],['translation: self-development and meditation'],3.0629160774669537
"Joycoli Question, DU (Category Change) - D Unit (Paperback)",['rafiqul islam (editor)'],['humanities department admission guide'],3.6148132088598377
Short programming (hardcover) in the story,['moinul raju'],['computer programming'],4.430444894368064
Eleklime 'Bengali' Natural Language Processing (Hardcover),['rakibul hasan'],['computer programming'],3.9630644240481314
Learn in 30 days Malaysian language in modern way,['professor muhiur sultana'],['middle east'],2.496128848096263
The news of the grave before and after mortal (hardcover),['huzatul islam imam ghazali rah'],"['death, hereafter and paradise-hell']",3.464927652988753
Physical Science (1st and II) (Paperback) of Physiology,['mehedi hassan'],['preparation of engineering filling'],3.7938907990257515
Important autobiography based in Bangabandhu Sheikh Mujibur Rahman is an important MCCQ (Paperback),['joycoli editors (editorial)'],['bangladesh affairs'],3.8072464977383516
Prove that ... (Hardcover),['mursalin habib'],['mathematics'],3.89836862676211
Restarted Yorkers (Hardcover),['javed parvez'],['self development and motivation'],3.7013160774669536
Return to the details (hardcover),['ripon imran'],['contemporary novel'],1.8707254841684606
Benefits of marriage and Shariath Outline (Paperback),['shaikh muhammad saleh al-munajjid'],['personal and family life'],3.9119354080396382
Robotics 1 (Hardcover),['mishal islam'],"['when age 12-17: mathematics, science and technology']",4.598459236008867
"O youth, come back to the Lord (Paperback)",['shaikh khalid ar rashid'],['islamic books: self-development'],4.195716774259658
"Bible, Injil Sharif and Christian Religion (Paperback)",['dr.khondaker abdullah jahangir'],['religious articles'],4.5598489773760384
Mathematics Bichita: Mathematics-1 Mother and second letter (Paperback),['professor arun kumar nath'],['mathematics'],4.056604949781538
Easy Quran (3rd chunk) (Hardcover),['asif sijat bhuiya'],['quran and tafseer'],3.811787580694743
Outliary (Hardcover),['malcolm gladwell'],['translation: self-development and meditation'],3.150560953768428
Chemistry Bichita: Chemistry-18th and second letter (Paperback),['md. snow hassan'],['admission guide to the department of science'],3.8913000586870865
Hajj Spiritual Education (Paperback),['dr.khondaker abdullah jahangir'],['hajj-umrah and sacrifice'],4.497663695050722
Chandramukhi (Hardcover),['ashif antaz robi'],['contemporary novel'],4.146579114806368
The way the Prophet (peace be upon him) prayed (Paperback),['mohammad naser uddin'],"['salat ', ' prayer']",3.752383440926325
English Q Bank : MCQ Book (Paperback),['syed khairul hassan'],['exam preparation'],3.5289973496398335
Summary Hisan Muslim - Pocket Size (Paperback),['saeed ibn ali al-qahtani'],"['dua, dud and mention']",4.457316077466953
Robaltis 2 (Hardcover),['mishal islam'],"['when age 12-17: mathematics, science and technology']",4.6421095545503785
40 advice to form the ideal family (Paperback),['shaikh muhammad saleh al-munajjid'],['personal and family life'],4.266228254786509
Turkmenistan and Turkey (Hardcover),['engineer hafizur rahman'],['typical and travel'],2.2471503227789738
Photos to become flowers (hardcover),['shaikh ahmad musa jibril'],"['invitation, tabligh, lecture, discussion and waj']",3.709626417719676
IELTS Writing Book Task 1 And-2 (Paperback),['syed khairul hassan'],['ielts'],3.0704145623819774
Fourth Industrial and Bangladesh (Hardcover),['fayez ahmad cube'],"['business and economics articles, research and statistics']",4.326996618505994
Fourjing Grammar (Paperback),['saifur rahman khan'],"['bangla, english and general knowledge']",4.006584824710301
Ask and answer (4th chunk) (hardcover),['dr.khondaker abdullah jahangir'],['islamic sawal-jawab'],4.067517475507558
Half life (hardcover),['sunil gangopadhyay (nilolit)'],['self-judged'],3.0704145623819774
Madhurat (Hardcover),['imdadul haque milon'],['contemporary novel'],3.36534356246408
Elected 100 poems of liberation war (hardcover),['ramshankar devnath (editor)'],['rhyme of liberation'],2.4965803873347685
Bangladesh 64 District Introduction (Hardcover),['liaquat hossain khokan'],['context bangladesh'],3.211843133810549
Fever (hardcover),['salahuddin shuvro'],['contemporary novel'],3.164766881852649
Cambridge IELTS Vocabulary English to Bangla (1-16) (Paperback),['mehdi shamim'],['ielts'],3.51581792630978
Simple language Python 3 (Hardcover),['maksudur rahman matin'],['computer programming'],4.615248934094281
Modern and secret Masala of men and women),['mufti abdul lord kasemi'],['personal and family life'],3.588445630606713
Allah loves Tauboler (Paperback),['shaikh nabil ibn nasir as-sanani'],"['faith, akbida and taosa']",3.0704145623819774
Mathematical Dreaming 2: First Step of Mathematics Olympiad (Hardcover),['ahmed jawad chowdhury'],['mathematics'],4.122363498782189
Finman Diagram,['shakibul islam'],['physics'],2.386989104074871
Land Purchase-Sales and Nausir Rules (Hardcover),['janendra nath government'],['miscellaneous books related to law'],3.092681371042115
Facebook Marketing (Hardcover),['md.ikram'],"['branding, marketing & singing']",3.31036274208423
Hours (hardcover),['hazrat maulana mufti muhammad shafi (ra)'],"['death, hereafter and paradise-hell']",3.623575161389487
Nurani Quran Sharif (30 chunk set) (Paperback),['(hakimul ummat maulana ashraf ali thanvi rah.)'],['nurani quran'],3.8507589374514026
In the country of poetry (hardcover) in the country,['sunil gangopadhyay (nilolit)'],['typical and travel'],3.3448386105133725
Zakat's Masayel (Hardcover),['mufti shabbir ahmad'],['zakat'],2.4965803873347685
Bangladesh: 50 years of economy (hardcover),['fayez ahmad cube'],['economy: respect bangladesh'],3.4993547215158034
Important MCP (Paperback) of 9th-10th grade and citizenship based,['joycoli editors (editorial)'],['general science'],3.9119354080396382
Microtic Router: Networking and Security (Hardcover),['titas sarkar'],['networking'],3.856392156228259
Cooking Studio (Soules Matt Paper),['ummi selim'],['recipe'],3.595181371042115
ATM one drawn memorization (paperback),['md. abu bakr siddique'],['preparation of admission test'],4.23581792630978
Irene (Hardcover),['pierre lemayet'],"['mystery, detective, horror, myth, thriller, and adventure: translation']",3.926145096833692
Bangabandhu Sheikh Mujibur Rahman jail-based important MCCQ (Paperback),['joycoli editors (editorial)'],['bangladesh affairs'],4.108821823333645
In light of the Prophet: Enjoy Life (Hardcover),['dr.muhammad ibn abdur rahman arifi'],['personal and family life'],4.543614762843348
Taikiratul Awlia (1-3 chunks together),['maulana farid uddin attar'],"['prophet messenger, sahaba, tabee and oli-awlia']",2.641843133810549
Career in IT (Hardcover),['titas sarkar'],['operating system'],4.217681371042115
La-Tahman (Hardcover),['dr.ayia al-khan'],['islamic books: self-development'],4.030181371042115
Sahih Bukhari Sharif (1 to 10 chunks together) (Offset),['imam muhammad ibn ismail bukhari (r)'],['hadith and sunnat'],4.075845513232541
ICT Section (Paperback),['joykli publications ltd. (editor)'],['university admission guide'],3.311787580694743
Murberry is her saint (hardcover),['suspend sumon'],['thriller'],2.6502901936673844
Women's Lighting Explorers (Hardcover),['nazmul shamim'],['woman'],1.8707254841684606
Common mistakes (hardcover),['maulana muhammad abdul malek'],['the help of islamic period and period'],4.552395616715792
Male (hardcover),['rokeya lita'],['contemporary novel'],3.0402232258979875
Last hit (4th chunk) (hardcover),['enayetullah ultamash'],['islamic novel'],2.4965803873347685
Postmaster (Hardcover),['rabindranath tagore'],['classical story'],3.3916358526195602
Caste Books My Bengali Language and Freedom (Paperback),['anik kumar kund'],['children-teenagers: history and politics'],1.8707254841684606
Do not lose patience (Paperback),['shaikh muhammad saleh al-munajjid'],['islamic books: self-development'],3.9701527335091495
Endangered (Hardcover),['shahman pazon'],['drama'],3.95690849472282
The entire Islamic story of children (hardcover),['iqbal kabir mohan'],"[""children's islamic book""]",2.81036274208423
Science Fiction: Robo Scratch (Hardcover),['at hitler.halim'],['science fiction'],3.4981002151859824
Master Password (Hardcover),['gazi yar mohammad'],['career development'],4.0901813710421155
The Kingdom of Outsiders (Hardcover),['sohel rana 2'],"['detective, intelligence and secret agency']",4.565658038733477
Akbar (Hardcover),['rahul sankritayon'],['historical personality'],1.8707254841684606
Sales' day-night (hardcover),['muhib ahmed'],['career development'],3.448290193667384
The best resources of life (hardcover),['shaikhul islam mufti mufti muhammad toki uthmani'],['islamic miscellaneous books'],3.27587799296376
Why are children of Muslim family today?(Hardcover),['maulana mohammad mizanur rahman'],"['islamic research, criticism and essay']",3.43536274208423
Bengali Bichitra-Bangla 1st and Second Letter Classby (novel and drama) (Paperback),['pankaj kumar sikder'],['university admission guide'],3.928572381631358
Personality and self-esteem: Psychological techniques for strength and strengthening (hardcover),['professor dr.md tajul islam (kajal)'],['self development and motivation'],2.4138169894456403
Suppladesh play (Paperback),['salim morshed'],['contemporary novel'],3.211843133810549
Smart Haiti (Hardcover),['ahsanul azim shah'],['personal and family life'],3.211843133810549
BDZs and LinkedIn Updating (Paperback),['apple mahmud'],['career development'],3.7102418280561533
The Lodge of Human Nature 1th Done (Hardcover),['robert green'],['translation: self-development and meditation'],3.6775365396976216
There is no breakdown crossing (hardcover),['mizan'],['contemporary novel'],3.7482901936673843
Postbox (Hardcover),['nusrat nahid'],['story compilation and whole'],1.8707254841684606
The Art of War (Hardcover),['san joo'],['tactics and foreign policy'],3.4630704420990317
Mind and people-1 (Hardcover),['professor dr.md tajul islam (kajal)'],"['mind, mental and counseling']",3.386989104074871
Bunch Aid Filling Guide - Science (Paperback),['joycoli editors (editorial)'],['admission guide to the department of science'],2.882042949365421
"Explorers Bangla Literature and Grammar (BCS, Powerful and Written Finance) (Paperback)",['md. abu bakr siddique'],['bengali language and literature'],3.553957766795148
Dolan Chanchange Scent (Hardcover),['rakibul islam mukul'],['contemporary novel'],2.9138169894456403
Naya wife (hardcover),['monir mohammad'],['contemporary novel'],2.9138169894456403
Does not respond to release (Paperback),['hanif khan'],['when age 8-12: story'],1.8707254841684606
Salatul Eid Additional Takbir (Paperback) in the light of the charter of Hadith and Sahih Hadith,['dr.khondaker abdullah jahangir'],['hadith discussion'],4.126145096833692
Women's enemy-ally (hardcover),['muhammad is jainul abidin'],['women related'],1.8707254841684606
The history of 9th-10th grade is the important MCCA (Paperback),['joycoli editors (editorial)'],['geography (bangladesh and world) environment and disaster management'],3.6593160774669538
Panasia World Map - Maximum Information (Paperback),['panasia publications editorship (editor)'],['map'],4.186787580694744
KhondoKar's GK (English Version) (Paperback),['md. imran khan'],['general knowledge'],3.386989104074871
What do that (hardcover),['golam rabbi'],['self development and motivation'],4.324704925284728
Science Project The whole-second volume (hardcover),['hospitable judgment'],['science project'],1.8707254841684606
Toward infinity (hardcover),['abdul aziz al aman'],['rasool in sita'],3.211843133810549
I met turkey (hardcover),['hafizur rahman (ph.d)'],['typical and travel'],4.30376057728089
The biography of four caliphs of Islam (white) (hardcover),['hazrat maulana mufti muhammad shafi (ra)'],"['prophet messenger, sahaba, tabee and oli-awlia']",3.386989104074871
The Alkimist (Hardcover),['paulo coelho'],['translation novel'],3.7155424829295107
Breaking waves: Social media (hardcover),['jahangir sur'],['translation: article'],3.211843133810549
Cooking Sixteenth 1 (Hardcover),['ayesha siddika'],['desi recipe'],3.782681371042115
Characterless (Hardcover),['sarat chandra chattopadhyay'],['classical novel'],3.835526795778256
What is shared with zero (hardcover),['ahmed jawad chowdhury'],['mathematics'],4.087817760980814
Human Lab (Hardcover),['mahfuz siddiqui himalayan'],"['business, investment and economics']",3.72845424736141
Self-control (Paperback),['shaikh muhammad saleh al-munajjid'],['islamic books: self-development'],3.9227843124565176
Sadness (Hardcover),['muhammad asadullah'],['contemporary novel'],3.7729910851521677
The Life of Companions Figure 1 (Hardcover),['dr.abdur rahman rafat pasha rah'],"['prophet messenger, sahaba, tabee and oli-awlia']",3.842681371042115
The name that is called (Paperback),['allama hafiyi ibnul kayyim (r)'],['islamic miscellaneous books'],2.4965803873347685
Believing story-1 (Hardcover),['maulana muhammad ilia'],"['faith, akbida and taosa']",1.8707254841684606
Folk use of herbal plant,['dr.alamgir moti'],['herbal and ayurvedic'],2.4965803873347685
Motivational Moments - 2 (Hardcover),['mufti ishmael menak'],['islamic books: self-development'],4.168736097322522
Happiness of the family is between two people and not in prison peaceful family (2 books together) (hardcover),['maulana zulfikar ahmad nocturni'],['personal and family life'],3.8620819942430766
Shadow ICT Summit (Paperback),['shadow publications (editor)'],['university admission guide'],2.87690849472282
Yield (hardcover),['carine slutter'],"['translation: mystery, detective, horror, myth, thriller, and adventure']",1.5462901936673843
After escape (hardcover),['ashif antaz robi'],['contemporary novel'],3.986545223763672
Goat keeping farm management grass farming treatment (hardcover),['dr.md. akhtar hossain chowdhury'],['cattle'],3.136627448788531
Ninth-tenth grade Bangla 2nd letter based MCK (Paperback),['joycoli editors (editorial)'],['ninth and tenth (ssc)'],3.70285917893972
Receive horrors (hardcover),['anish das apu (translator)'],['translation science fiction'],3.211843133810549
C programming (hardcover),['zakir hossain'],['computer programming'],4.171159511801996
Joykali Bangladesh University of Professionals: Question Bank (Human F FAS) (Paperback),['ajay government'],['preparation of admission test'],2.748778709762417
Series Series (Box Set) from Quran (Paperback),['iqbal kabir mohan'],"[""children's islamic book""]",2.4965803873347685
Joyki BUET Q. Bank (Paperback),['mehedi hasan (editor)'],['preparation of engineering filling'],3.5526962629561103
The story of the people of the Qur'an (hardcover),['professor alhaj.f.m.motiur rahman'],"[""children's islamic book""]",3.73253091820568
Maha Success and Final Failure (Paperback),['saeed ibn ali al-qahtani'],['islam is the context'],2.7471503227789733
Why does worship is not accepted (Paperback),['professor maulana atikur rahman bhuiyan'],['islamic practices and guides'],3.18536274208423
Prescateras Model Test and Recent Events Flow (with Requirement) (Paperback),['prescaterats publications (editor)'],['preliminary'],3.2502901936673845
Mahatma Sheikh Hasina: Anjali Leho Moha (Hardcover),['anjali loh mo'],['political personality of bangladesh'],2.641843133810549
Chowdhury home (hardcover),['mahbub nahid'],['contemporary novel'],4.030181371042115
Dead of fresh faith (hardcover),['syed abul hasan ali rahi rah.'],"['faith, akbida and taosa']",1.8707254841684606
BUET mathematics (1st and second letter) (Paperback),['salahuddin ahmed'],['preparation of engineering filling'],4.012674256021737
Kids learning (hardcover),['gazi farooq ahmed'],['childrenis: primary education'],2.641843133810549
Research Series - 05: The condition of acceptance of the believer (Paperback),['professor dr. md. motiar rahman'],['the help of islamic period and period'],1.8707254841684606
"Research series -7: Do not deliberately understand the meaning of the Qur'an,(Paperback)",['professor dr. md. motiar rahman'],['islamic rules and masayel'],2.4965803873347685
Research series - 02: The purpose of sending the Prophet Muhammad (peace be upon him) and understanding his correct ways (Paperback),['professor dr. md. motiar rahman'],"['islamic territory, governance and politics']",1.6965803873347685
The breakthrough is the donor-1 chunk (hardcave),['maulana tariq jamil (editor)'],"['invitation, tabligh, lecture, discussion and waj']",1.6965803873347685
Dream Happiness Sansar (Paperback),['shaykh sulaiman and ruhili'],['personal and family life'],3.0536557707415377
Story (Hardcover),['rabindranath tagore'],['classical story'],3.678145096833692
Sara Jahan Matroara (Hardcover),['(hakimul ummat maulana ashraf ali thanvi rah.)'],"['prophet messenger, sahaba, tabee and oli-awlia']",4.255551447015941
How to win a husband's heart (hardcover),['shaikh ibrahim bin saleh al mahmud'],['personal and family life'],3.136627448788531
Ask and reply (5th chunk) (hardcover),['dr.khondaker abdullah jahangir'],['islamic sawal-jawab'],3.95690849472282
Good plan for success (Paperback),['shaikh muhammad saleh al-munajjid'],['islamic books: self-development'],3.7648895756144127
Best writings (hardcover),['dr. lutfar rahman'],['composite compilation and whole'],1.9138169894456405
Forgotten passenger,['rahul sankritayon'],['translation novel'],2.2965803873347683
"After the prayer, the Prophet (peace be upon him) used to read all the blessings",['mufti kazi muhammad abraham'],"['prayer, darood and yikar']",2.9425446596304266
Talk about Technical Analysis (Paperback),['syed isfakur rahman'],"['share, business and investment']",4.061787580694744
Hamd Nat (Paperback),['kazi nazrul islam'],['islamic miscellaneous books'],4.023471520793993
365 days diary (hardcover),['md nizam uddin (editor)'],['the help of islamic period and period'],3.6092113262970935
Theological Mercury (Hardcor),['didaruzzaman dipu'],['thriller'],2.496128848096263
Sahih Muslim Sharif (all the chunks together) (hardcover),['imam abul hossain muslim ibn al-hajjaj'],['hadith and sunnat'],4.05581792630978
Sorted resort to dreams (hardcover),['md murad'],['romantic novel'],1.8707254841684606
Life and action: Usman bin Affan RA (second volume) - 2 chunks (hardcover),['dr.ali muhammad as salabi'],"['prophet messenger, sahaba, tabee and oli-awlia']",3.3462901936673846
Time (Hardcover),['mahmudul haque siddiq'],['islamic miscellaneous books'],3.248778709762417
